date,rent,home_price,year,median_household_income,HPI,rent_burden,rent_yoy,price_yoy,HPI_yoy
2022-01-31,2927.7709422284424,1373112.5920183898,2022,150839.0,9.103166899928997,0.2329188824292213,0.0858008087156994,0.15654544770078171,0.0854148241994317
2022-02-28,2959.231858603466,1412430.7440383686,2022,150839.0,9.363829938135154,0.2354217563311981,0.0981344235122048,0.17890982939139333,0.10640373688704141
2022-03-31,2994.5829690803207,1454924.9754767169,2022,150839.0,9.64554906540561,0.23823411471147282,0.10602930219365492,0.20705899719385767,0.13282165594280593
2022-04-30,3034.679783553458,1488072.3182706812,2022,150839.0,9.865302198176076,0.24142401767872695,0.10909038226368795,0.22169863956300406,0.14656092133876508
2022-05-31,3075.856953058454,1507398.7378186248,2022,150839.0,9.993428342926066,0.2446998683145702,0.10908165729541786,0.2200632753934213,0.14502613641858875
2022-06-30,3123.412775672303,1507061.9267690305,2022,150839.0,9.991195425380907,0.24848317284036378,0.108081740767352,0.2007397237415427,0.12689103462831408
2022-07-31,3160.1071024214625,1489672.6240857963,2022,150839.0,9.8759115619024,0.2514023908210579,0.10195992233018814,0.17063437285066296,0.09863724295099785
2022-08-31,3180.8729544629514,1458897.650965396,2022,150839.0,9.67188625597754,0.253054418642098,0.09436856327769116,0.13477996243314228,0.06498797421065183
2022-09-30,3178.378327550452,1429574.917271125,2022,150839.0,9.47748869503991,0.25285595854258797,0.08580158628367718,0.10286260330784458,0.03503361762849866
2022-10-31,3151.4317151378796,1400252.1835768537,2022,150839.0,9.28309113410228,0.25071222019275224,0.0758314533453941,0.07153845822617555,0.00563599084728672
2022-11-30,3116.925447585282,1387242.0571131394,2022,150839.0,9.196839392419331,0.247967073310108,0.06896913912888536,0.0500379883059745,-0.014542142943334557
2022-12-31,3089.564140828885,1382930.8056667263,2022,150839.0,9.168257583693384,0.24579034394252558,0.0607110536731732,0.03068341988270573,-0.032706353890999074
2023-01-31,3087.1138986750193,1373453.3249880932,2023,154954.0,8.863619687056115,0.23907331713992688,0.05442466627026987,0.00024814641689552275,-0.026314711737818408
2023-02-28,3096.987618023391,1356796.143619919,2023,154954.0,8.756122098299617,0.23983796104831556,0.046551188281994005,-0.03938925901554735,-0.06489949559641028
2023-03-31,3120.2400604403033,1337354.2271613444,2023,154954.0,8.630653143264094,0.24163868454692128,0.04196146597286421,-0.08080880478173769,-0.10521909279187702
2023-04-30,3133.2983469502688,1326928.6845901648,2023,154954.0,8.563371610866223,0.24264994878094934,0.03249718930190837,-0.10829018973203175,-0.1319706747098489
